serial|name|visibility|birthday|gender|location|status|joined|job|language|blogTraffic|posts|myComments|userComments|photos|friends|following|followers|points|lastOnline
1|anacoana|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2|martyn43|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
3|billjcanada|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
4|DJillian|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
5|itsallinasongagain|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
6|ethansdad|Public|1954-01-07|Male|?|Single|2012-04-14|Carpenter|yes|64094|161|14407|18720|25|21|20|30|16295|10 hours ago
7|FloridaLady|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
8|davekal52|Public|?|Male|?|Single|2012-02-10|?|English|22971|448|5918|7802|5|46|57|34|17980|23 days ago
9|Ghosttrider|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
10|Dune1952|Public|1952-07-16|Not Specified|?|?|2012-09-28|?|English|26284|1041|1464|2076|1151|15|1|4|18273|20 hours ago
11|theatre22|Public|?|Male|?|Other|2013-01-30|retired.....|?|7911|440|50|308|300|9|0|1|6868|16 days ago
12|Emmastarr|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
13|BrotherDocs|Public|?|Male|Any Town|Not Interested|2013-04-04|Apostle, Presiding General Overs|English|41435|1810|3983|5328|92|34|28|14|31229|4 minutes ago
14|tesstruhartz1|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
15|graybeardtrumain|Public|?|Male|?|Married|2012-06-15|Unwanted Retirement|American|20998|402|1785|1634|2|32|0|11|8859|2 hours ago
16|us2nomads|Public|?|Not Specified|?|Married|2012-06-11|?|English|40302|744|1477|2953|117|46|1|18|13821|3 hours ago
17|damnpamn|Public|?|Female|?|?|2012-02-12|?|?|60338|925|4640|8630|1460|44|24|35|19949|5 hours ago
18|leebobus|Public|?|Male|Leavenworth|Married|2012-07-23|Florida State Operations Manager|English|38318|720|956|4395|33|99|0|30|12571|7 hours ago
19|lightlove|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
20|CapturedEmotion|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
21|justalilwitchie|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
22|DoubleDAZWIFE|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
23|masuzette|Public|1947-04-07|Female|Calamba City|?|2013-04-11|?|English|4271|139|588|740|274|10|3|5|2972|15 hours ago
24|wildsexymustang|Public|1964-02-16|Female|?|Other|2013-03-06|CEO|English|6029|84|453|833|26|20|15|9|1816|2 days ago
25|blogmom|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
26|rantshack|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
27|erleargonza|Public|1958-07-06|Male|Antipolo City|Single|2011-05-15|Consultant|English|83328|895|368|360|8|76|0|2|14636|13 hours ago
28|Farsider|Public|?|Male|Toms River|Married|2012-10-09|?|?|40666|348|3165|4925|179|41|6|22|8697|2 days ago
29|feralpuppies|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
30|aKunaKumara|Public|?|Female|Bucks County|?|2012-04-09|Spiritual Communicator|English|72472|765|5331|6035|55|73|22|26|17573|3 hours ago
